ecotype id	nativename	1_LD	2_LDV	3_SD	4_SDV	5_FT10	6_FT16	7_FT22	8_Seed Dormancy	9_Emco5	10_Emwa1	11_Emoy*	12_Hiks1	13_Noco2	14_Li7	15_B11	16_Na23	17_Mg25	18_P31	19_S34	20_K39	21_Ca43	22_Mn55	23_Fe56	24_Co59	25_Ni60	26_Cu65	27_Zn66	28_As75	29_Se82	30_Mo98	31_Cd114	32_<i>avrPphB</i>	33_<i>avrRpm1</i>	34_<i>avrRpt2</i>	35_<i>avrB</i>	39_0W	40_2W	41_4W	42_8W	43_FLC	44_FRI	45_8W GH FT	46_8W GH LN	47_0W GH FT	48_0W GH LN	57_FT Field	58_FT Diameter Field	59_FT GH	60_FT Duration GH	61_LC Duration GH	62_LFS GH	63_MT GH	64_RP GH	65_At1	66_At1 CFU2	67_As	68_As CFU2	69_Bs	70_Bs CFU2	71_At2	72_At2 CFU2	73_As2	74_As2 CFU2	75_FW 	76_DW 	77_LES	78_YEL 	79_LY 	80_LN10	81_LN16	82_LN22	158_Silique 16	159_Silique 22	161_Germ 10	162_Germ 16	163_Germ 22	164_Width 10	165_Width 16	166_Width 22	167_Chlorosis 10	168_Chlorosis 16	169_Chlorosis 22	170_Anthocyanin 10	171_Anthocyanin 16	172_Anthocyanin 22	173_Leaf serr 10	174_Leaf serr 16	175_Leaf serr 22	176_Leaf roll 10	177_Leaf roll 16	178_Leaf roll 22	179_Rosette Erect 22	182_Hypocotyl length	183_Trichome avg C	184_Trichome avg JA	185_Aphid number	186_Bacterial titer	272_Seedling Growth	273_Vern Growth	274_After Vern Growth	277_Secondary Dormancy	278_Germ in dark	279_DSDS50	280_Seed bank 133-91	281_Storage 7 days	282_Storage 28 days	283_Storage 56 days
8275	Cen-0	34.5	29.0	105.042	81.0	68.0	52.0	51.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41.3	32.8	NA	25.8	0.899	0.704	31.1	17.2	34.4	11.3	166.058	33.0282	27.5456	21.416	66.5619	49.1278	17.0362	38.7537	2.333	4.778	2.0	3.416	5.6	3.938	0.5	4.912	1.5	5.291	NA	NA	NA	NA	NA	30.0	27.0	29.0	NA	NA	7.0	3.0	3.0	2.5	6.2	9.0	1.0	0.0	0.0	0.0	1.0	1.0	1.5	1.0	1.5	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8283	Dra3-1	200.0	34.2	200.0	131.6	71.0	84.0	250.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.4	2.073	1.85	NA	NA	200.0	NA	178.506	35.7086	32.4035	20.3714	72.239	52.4478	25.9367	42.3136	1.333	4.759	0.6	4.631	2.75	5.612	0.0	4.539	1.333	3.999	NA	NA	NA	NA	NA	37.0	47.0	298.0	NA	NA	7.0	3.0	2.0	2.1	8.4	10.5	0.0	0.0	1.0	0.0	1.0	1.0	0.5	1.0	1.5	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8284	DraII-1	77.0417	30.0	89.825	67.3333	61.0	72.0	41.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	66.3	29.0	NA	21.2	0.85	0.696	28.9	18.3	NA	48.3	171.937	33.8761	78.3485	27.0325	108.406	98.0968	9.77454	37.1374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.0	47.0	41.0	NA	NA	7.0	3.0	2.0	2.6	8.2	10.0	0.0	0.0	0.0	0.0	1.0	0.0	0.5	0.75	1.0	0.0	0.0	1.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8285	DraIII-1	35.8403	23.5	88.3403	59.0	70.0	51.0	37.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.5	22.4	20.8	18.3	0.06	0.623	28.2	15.3	28.0	13.5	165.986	36.359	28.0015	16.9662	61.9456	45.1416	16.9664	34.0019	0.333	3.652	1.333	5.118	3.833	4.174	0.0	4.375	0.5	4.47	NA	NA	NA	NA	NA	28.0	31.0	42.0	NA	NA	7.0	3.0	2.0	1.9	5.8	13.6	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.75	0.75	0.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8290	En-1	27.3333	23.3333	71.5	33.6	50.0	41.0	28.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.7	22.4	21.8	16.1	0.157	0.402	23.0	13.6	25.7	12.0	149.589	26.9066	25.0504	19.3802	61.4767	44.4216	16.946	36.3533	2.833	4.464	1.5	3.553	0.5	4.095	0.333	2.858	0.0	3.242	NA	NA	NA	NA	NA	18.0	12.0	11.0	NA	NA	7.0	3.0	2.0	2.7	8.7	12.6	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.5	1.0	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8296	Gd-1	29.3403	23.8333	77.6667	56.8333	45.0	29.0	28.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.6	19.0	19.3	18.0	0.127	1.152	NA	12.0	26.5	11.1	157.395	36.7109	22.0923	20.9147	58.5728	42.4169	16.3006	36.8841	0.5	4.386	0.0	4.377	7.333	3.178	0.167	4.214	0.667	4.862	NA	NA	NA	NA	NA	13.0	11.0	10.0	NA	NA	7.0	3.0	2.0	2.2	10.0	11.7	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	0.0075125	0.00630456	0.164413	1.11559	19.6824	76.4238	-0.331981	0.0	0.0	2.88461
8297	Ge-0	200.0	27.0	200.0	68.6667	73.0	104.0	247.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67.3	58.0	NA	4.352	1.253	31.8	22.3	200.0	NA	170.385	33.0638	148.301	NA	NA	NA	NA	NA	3.833	5.639	2.667	4.3	8.833	4.263	0.833	4.079	2.167	4.821	NA	NA	NA	NA	NA	40.0	55.0	264.0	NA	NA	5.0	3.0	3.0	3.0	7.5	7.5	1.0	1.0	1.0	0.0	1.0	1.0	0.5	0.5	0.5	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	0.0106649	0.161973	0.778446	78.7292	28.0075	0.0	0.0	54.25	100.0
8300	Gr-1	35.4083	27.6667	88.0208	92.0	61.0	51.0	40.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.175	NA	25.9	15.1	28.4	14.5	159.506	28.3226	29.3336	21.7801	67.0282	51.1431	15.5501	37.5255	1.333	4.614	0.667	4.415	5.333	5.401	0.333	3.467	0.333	4.561	NA	NA	NA	NA	NA	31.0	28.0	25.0	NA	NA	7.0	3.0	2.0	2.6	7.6	9.9	0.0	0.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8306	Hov4-1	72.0417	37.8	200.0	100.167	96.0	49.0	250.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.0	125.0	79.5	33.4	0.81	0.804	34.8	24.5	200.0	NA	198.006	26.0793	NA	NA	NA	NA	NA	NA	6.167	5.86	3.0	4.917	7.4	3.3	4.167	5.719	2.5	4.87	NA	NA	NA	NA	NA	50.0	34.0	230.0	NA	NA	5.0	3.0	2.0	2.8	6.2	8.5	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.75	0.75	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8310	Hs-0	26.0	31.0	77.3403	57.5	49.0	31.0	28.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.4	18.0	16.0	15.8	0.184	0.737	24.6	13.6	24.1	10.3	175.56	42.2638	22.198	20.2413	59.9176	42.5071	17.3556	37.7066	1.0	3.916	0.333	3.972	5.667	5.158	0.333	4.982	1.167	5.499	NA	NA	NA	NA	NA	16.0	13.0	13.0	NA	NA	7.0	3.0	2.0	2.5	10.5	12.3	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.5	0.5	1.0	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
